DATE,ANNA426PCPI
1969-01-01,4708
1970-01-01,4678
1971-01-01,5131
1972-01-01,5590
1973-01-01,6154
1974-01-01,6389
1975-01-01,7194
1976-01-01,8027
1977-01-01,8927
1978-01-01,10071
1979-01-01,11046
1980-01-01,12072
1981-01-01,13092
1982-01-01,13988
1983-01-01,15087
1984-01-01,16536
1985-01-01,17901
1986-01-01,18863
1987-01-01,19576
1988-01-01,21128
1989-01-01,22464
1990-01-01,23477
1991-01-01,23538
1992-01-01,24881
1993-01-01,26144
1994-01-01,27823
1995-01-01,29308
1996-01-01,30150
1997-01-01,31243
1998-01-01,32780
1999-01-01,34472
2000-01-01,36369
2001-01-01,37402
2002-01-01,38290
2003-01-01,39623
2004-01-01,39707
2005-01-01,40147
2006-01-01,41407
2007-01-01,42470
2008-01-01,44419
2009-01-01,41409
2010-01-01,45384
2011-01-01,45054
2012-01-01,47792
2013-01-01,47645
2014-01-01,49562
2015-01-01,52270
2016-01-01,54115
2017-01-01,56312
2018-01-01,58823
2019-01-01,60843
