DATE,MIWASH1POP
1970-01-01,234.103
1971-01-01,236.200
1972-01-01,241.500
1973-01-01,246.800
1974-01-01,256.400
1975-01-01,251.000
1976-01-01,253.900
1977-01-01,257.400
1978-01-01,259.800
1979-01-01,262.900
1980-01-01,264.740
1981-01-01,262.466
1982-01-01,260.239
1983-01-01,260.212
1984-01-01,260.737
1985-01-01,262.568
1986-01-01,266.087
1987-01-01,269.717
1988-01-01,273.346
1989-01-01,279.329
1990-01-01,283.987
1991-01-01,287.126
1992-01-01,290.323
1993-01-01,291.617
1994-01-01,293.671
1995-01-01,297.926
1996-01-01,303.133
1997-01-01,308.398
1998-01-01,312.601
1999-01-01,318.270
2000-01-01,324.537
2001-01-01,329.203
2002-01-01,333.549
2003-01-01,337.110
2004-01-01,340.480
2005-01-01,343.615
2006-01-01,345.657
2007-01-01,347.341
2008-01-01,344.207
2009-01-01,346.519
2010-01-01,345.717
2011-01-01,349.753
2012-01-01,352.303
2013-01-01,356.04
2014-01-01,360.021
2015-01-01,362.975
2016-01-01,366.135
2017-01-01,368.807
2018-01-01,369.483
2019-01-01,367.601
